USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
khoahung           665   0.0  0.1  4399552  24580   ??  S     1:45PM   0:00.76 com.docker.vpnkit --ethernet fd:3 --diagnostics fd:4 --pcap fd:5 --vsock-path vms/0/connect --gateway-forwards /Users/khoahung/Library/Group Containers/group.com.docker/gateway_forwards.json --host-names host.docker.internal,docker.for.mac.host.internal,docker.for.mac.localhost --listen-backlog 32 --mtu 1500 --allowed-bind-addresses 0.0.0.0 --http /Users/khoahung/Library/Group Containers/group.com.docker/http_proxy.json --dhcp /Users/khoahung/Library/Group Containers/group.com.docker/dhcp.json --port-max-idle-time 300 --max-connections 2000 --gateway-ip 192.168.65.1 --host-ip 192.168.65.2 --lowest-ip 192.168.65.3 --highest-ip 192.168.65.254 --log-destination asl --gc-compact-interval 1800
khoahung           664   0.0  0.0  4314860   7248   ??  S     1:45PM   0:00.05 com.docker.osxfs serve --address fd:3 --connect vms/0/connect --control fd:4
khoahung           659   0.0  0.1  5150252  16684   ??  S     1:45PM   0:00.57 /Applications/Docker.app/Contents/MacOS/com.docker.supervisor -watchdog
khoahung           658   0.0  0.0  4383912   3256   ??  S     1:45PM   0:00.01 /usr/libexec/loginitemregisterd
khoahung           656   0.0  0.2  5184800  37164   ??  S     1:45PM   0:03.44 /Applications/Docker.app/Contents/MacOS/com.docker.backend -watchdog
khoahung           651   0.0  0.0  4391484   3568   ??  S     1:45PM   0:00.06 /usr/libexec/USBAgent
khoahung           646   0.0  0.1  4607948  13896   ??  S     1:45PM   0:00.16 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
root               643   0.0  0.0  4336440   1336   ??  Ss    1:45PM   0:00.00 /usr/libexec/misagent
khoahung           641   0.0  0.0  4372844   4104   ??  S     1:45PM   0:00.01 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
khoahung           638   0.0  0.0  4399268   7204   ??  S     1:45PM   0:00.07 /usr/libexec/findmydevice-user-agent
khoahung           637   0.0  0.3  4592944  49836   ??  S     1:45PM   0:02.55 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
khoahung           636   0.0  0.1  4771784  24932   ??  S     1:45PM   0:00.64 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
